Date,Open,High,Low,Close,Adj Close,Volume
2022-04-02,0.179,0.1821,0.1626,0.1631,8308388,8308388
2022-04-03,0.163,0.172,0.1629,0.1682,3469621,3469621
2022-04-04,0.1682,0.1765,0.1576,0.164,5577228,5577228
2022-04-05,0.1641,0.1864,0.1634,0.1773,13171713,13171713
2022-04-06,0.177,0.1799,0.157,0.1577,9444128,9444128
2022-04-07,0.1577,0.1623,0.1554,0.1594,2623730,2623730
2022-04-08,0.1595,0.1642,0.1509,0.1523,2531948,2531948
2022-04-09,0.1524,0.1629,0.1509,0.1585,2604061,2604061
2022-04-10,0.1586,0.1762,0.1538,0.1663,7424301,7424301
2022-04-11,0.1661,0.176,0.1531,0.156,9974862,9974862
2022-04-12,0.1558,0.163,0.1549,0.1612,3364266,3364266
2022-04-13,0.1613,0.172,0.1578,0.1693,4596856,4596856
2022-04-14,0.1693,0.1702,0.1603,0.1611,2980816,2980816
2022-04-15,0.1613,0.1946,0.1611,0.183,12022126,12022126
2022-04-16,0.1829,0.2088,0.178,0.192,24754793,24754793
2022-04-17,0.1921,0.213,0.1894,0.1913,22077851,22077851
2022-04-18,0.1912,0.2142,0.183,0.2008,13758585,13758585
2022-04-19,0.2007,0.2049,0.1899,0.1926,6404104,6404104
2022-04-20,0.1924,0.1924,0.1772,0.1776,4972991,4972991
2022-04-21,0.1776,0.182,0.1622,0.1627,5684177,5684177
2022-04-22,0.1627,0.1649,0.159,0.161,3936120,3936120
2022-04-23,0.1611,0.1708,0.1598,0.164,5972247,5972247
2022-04-24,0.1641,0.1647,0.1606,0.1619,2231124,2231124
2022-04-25,0.162,0.162,0.1541,0.1606,2576832,2576832
2022-04-26,0.1606,0.165,0.15,0.1517,2407403,2407403
2022-04-27,0.1516,0.169,0.1504,0.158,4701444,4701444
2022-04-28,0.1581,0.1582,0.1524,0.1526,3089875,3089875
2022-04-29,0.1526,0.1528,0.1441,0.146,1818546,1818546
2022-04-30,0.1461,0.148,0.1343,0.1351,2291835,2291835
2022-05-01,0.1352,0.1378,0.1318,0.1366,1711422,1711422
2022-05-02,0.1365,0.1493,0.1332,0.1356,7758651,7758651
2022-05-03,0.1357,0.1403,0.133,0.134,2265643,2265643
2022-05-04,0.134,0.1413,0.1317,0.1391,4583214,4583214
2022-05-05,0.1393,0.1412,0.125,0.1263,2995829,2995829
2022-05-06,0.1261,0.1311,0.1225,0.1264,2407316,2407316
2022-05-07,0.1264,0.1275,0.1213,0.1231,808236,808236
2022-05-08,0.1232,0.1232,0.1166,0.1172,1067358,1067358
2022-05-09,0.1173,0.1187,0.1023,0.1027,2514727,2514727
2022-05-10,0.1028,0.1101,0.1,0.1022,2525062,2525062
2022-05-11,0.1023,0.1038,0.0804,0.0821,3359645,3359645
2022-05-12,0.0822,0.0848,0.071,0.0735,2691665,2691665
2022-05-13,0.0736,0.0936,0.0734,0.0792,3616864,3616864
2022-05-14,0.0792,0.08,0.0745,0.0798,1096484,1096484
2022-05-15,0.0796,0.0881,0.0781,0.0877,1972373,1972373
2022-05-16,0.0878,0.0879,0.0801,0.0827,1639076,1639076
2022-05-17,0.0827,0.0886,0.0827,0.0857,840681,840681
2022-05-18,0.0858,0.0885,0.0818,0.0822,1633509,1633509
2022-05-19,0.0822,0.0882,0.0805,0.0877,1484500,1484500
2022-05-20,0.0876,0.088,0.0821,0.0832,1049614,1049614
2022-05-21,0.0833,0.0931,0.0832,0.0922,1797906,1797906
2022-05-22,0.0922,0.097,0.0901,0.0952,2121212,2121212
2022-05-23,0.0951,0.0959,0.0891,0.09,1487913,1487913
2022-05-24,0.0899,0.0921,0.0877,0.0915,977718,977718
2022-05-25,0.0915,0.0938,0.0878,0.0881,774359,774359
2022-05-26,0.0882,0.095,0.082,0.0908,2590312,2590312
2022-05-27,0.0909,0.1011,0.0858,0.0926,5867238,5867238
2022-05-28,0.0925,0.0947,0.0877,0.0881,1491999,1491999
2022-05-29,0.088,0.0881,0.0847,0.0849,925028,925028
2022-05-30,0.085,0.0888,0.0835,0.0872,3285559,3285559
2022-05-31,0.0872,0.0886,0.0839,0.0854,1793764,1793764
2022-06-01,0.0854,0.0875,0.0787,0.0794,1827741,1827741
2022-06-02,0.0793,0.0825,0.0772,0.0817,901933,901933
2022-06-03,0.0817,0.0825,0.0776,0.0793,1207818,1207818
2022-06-04,0.0793,0.082,0.0782,0.0812,478866,478866
2022-06-05,0.0812,0.0826,0.079,0.08,661332,661332
